            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sensor|
 216.12.249.195|   131.247.67.1|48267|   53| 17|         1|        84|        |2016/04/06T07:01:28.799|    0.000|2016/04/06T07:01:28.799|Health|
 216.12.249.195|   131.247.67.1|54279|   53| 17|         1|        80|        |2016/04/06T07:01:28.799|    0.000|2016/04/06T07:01:28.799|Health|
162.216.114.158|   131.247.67.6| 6053| 5060| 17|         1|       445|        |2016/04/06T07:01:28.284|    0.000|2016/04/06T07:01:28.284|Health|
 216.12.249.195|   131.247.67.1|19553|   53| 17|         1|        88|        |2016/04/06T07:01:28.796|    0.000|2016/04/06T07:01:28.796|Health|
 216.12.249.195|   131.247.67.1|39295|   53| 17|         1|        80|        |2016/04/06T07:01:28.798|    0.000|2016/04/06T07:01:28.798|Health|
162.216.114.158|  131.247.67.73| 6053| 5060| 17|         1|       446|        |2016/04/06T07:01:30.015|    0.000|2016/04/06T07:01:30.015|Health|
162.216.114.158| 131.247.65.140| 6053| 5060| 17|         2|       894|        |2016/04/06T07:01:19.966|    4.000|2016/04/06T07:01:23.966|Health|
162.216.114.158|   131.247.66.4| 6053| 5060| 17|         2|       890|        |2016/04/06T07:01:22.530|    4.000|2016/04/06T07:01:26.530|Health|
162.216.114.158|   131.247.66.6| 6053| 5060| 17|         2|       886|        |2016/04/06T07:01:22.590|    4.000|2016/04/06T07:01:26.590|Health|
162.216.114.158|   131.247.66.8| 6053| 5060| 17|         2|       892|        |2016/04/06T07:01:22.634|    4.000|2016/04/06T07:01:26.634|Health|
162.216.114.158|  131.247.67.36| 6053| 5060| 17|         1|       443|        |2016/04/06T07:01:29.178|    0.000|2016/04/06T07:01:29.178|Health|
162.216.114.158|  131.247.67.37| 6053| 5060| 17|         1|       446|        |2016/04/06T07:01:29.182|    0.000|2016/04/06T07:01:29.182|Health|
162.216.114.158|  131.247.67.75| 6053| 5060| 17|         1|       447|        |2016/04/06T07:01:30.062|    0.000|2016/04/06T07:01:30.062|Health|
162.216.114.158| 131.247.67.171| 6053| 5060| 17|         1|       447|        |2016/04/06T07:01:32.338|    0.000|2016/04/06T07:01:32.338|Health|
